UnitID,InstitutionName,Year,CovidIndicator,GraduationRate,TotalEnrollment,AvgInStateTuition,PercentWhite,PercentWomen,RetentionRate,StudentToFacultyRatio,PercentOnlineOnly,PercentAnyFinancialAid,AvgGrantAid,PercentPellGrant,AvgPellGrant,AvgStudentLoans
202170,Columbus College of Art & Design,2018,0,62,1094,34920,66,70,78,9,0,100,21683,50,4592,9632
202222,Columbus State Community College,2018,0,23,27343,4284,58,53,61,19,13,78,4879,51,4894,3685
202356,Cuyahoga Community College District,2018,0,19,23440,4322,54,60,56,16,22,85,4948,61,4962,1990
202435,Davis College,2018,0,0,71,12600,42,94,7,5,0,93,3592,79,3297,5876
202453,Dayton Barber College,2018,0,62,48,,17,19,81,15,0,85,4852,85,4852,
202480,University of Dayton,2018,0,79,11241,42900,78,48,91,14,0,98,22962,14,4259,12057
202514,Defiance College,2018,0,39,545,31990,72,47,55,9,2,99,19238,50,4147,8996
202523,Denison University,2018,0,85,2394,50790,62,54,89,9,0,95,29292,24,4382,6542
202648,Edison State Community College,2018,0,33,3650,3910,89,60,53,19,12,77,4004,51,3983,5084
202763,The University of Findlay,2018,0,61,4870,33250,71,65,80,16,3,100,20358,26,4011,9290
202806,Franklin University,2018,0,30,4970,12624,62,54,29,12,72,86,6297,71,4403,5857
202903,Gods Bible School and College,2018,0,37,266,6000,80,47,93,9,31,93,5352,57,4816,3493
202912,Good Samaritan College of Nursing and Health Science,2018,0,100,413,13605,81,92,,6,0,86,3292,29,2703,6764
203085,Heidelberg University,2018,0,50,1219,30400,80,49,67,13,0,100,19333,44,4440,9148
203128,Hiram College,2018,0,58,1255,32359,46,57,76,13,1,100,25223,60,4594,7537
203155,Hocking College,2018,0,31,3462,3696,79,52,47,19,3,88,3937,60,4000,5704
203289,International College of Broadcasting,2018,0,67,54,12649,54,15,56,8,0,89,5843,89,4988,9102
203331,Eastern Gateway Community College,2018,0,14,13940,4125,53,74,59,30,90,100,5097,63,4492,2006
203368,John Carroll University,2018,0,78,3555,39840,85,48,83,13,0,99,25732,20,4346,8174
203386,Hondros College of Nursing,2018,0,31,2109,15724,48,93,,14,4,92,3739,85,3444,5742
203438,Casal Aveda Institute,2018,0,63,115,,83,98,58,7,0,100,5658,81,5400,7552
203447,Kent State University at Ashtabula,2018,0,25,2026,5834,82,64,49,22,48,91,3810,55,4477,5151
203456,Kent State University at East Liverpool,2018,0,32,1123,5834,85,68,41,26,61,88,3411,59,3647,4081
203465,Kent State University at Stark,2018,0,38,4771,5834,81,61,65,23,23,84,3812,39,3936,4444
203474,Kent State University at Trumbull,2018,0,29,2244,5834,83,62,60,27,45,90,4762,58,4435,4924
203483,Kent State University at Tuscarawas,2018,0,37,2168,5834,87,58,67,22,22,94,3359,44,4342,4496
203492,Kent State University at Salem,2018,0,32,1697,5834,87,71,52,21,36,89,4280,49,5188,5045
203517,Kent State University at Kent,2018,0,60,28122,10312,75,61,81,20,8,96,7696,31,4406,7589
203526,Kent State University at Geauga,2018,0,42,2179,5834,77,63,62,22,44,72,4396,36,4198,4694
203535,Kenyon College,2018,0,87,1730,53830,70,55,91,10,0,64,36959,9,4553,5317
203544,Kettering College,2018,0,35,839,12960,79,83,71,10,22,93,4299,38,4140,10270
203580,Lake Erie College,2018,0,49,1160,29986,61,54,67,14,4,100,22740,48,4650,6776
